Bus_Numbers,Passenger_Number,Iteration_Times,Pheromone,Alpha,Beta,Volatile_Coefficient,Ant_Pheromone_Quality,Ants_Number,Shortest_Line,shortest_Time,Cut_Lines,Cut_Times
40,20,100,15,3,3,0.4,115,25,"[24, 11, 8, 34, 33, 10, 20, 38, 5, 9, 16, 39, 36, 2, 29, 37, 30, 1, 23, 27, 0, 3, 14, 12, 6, 28, 18, 22, 32, 15, 31, 17, 26, 35, 25, 4, 13, 19, 7, 21, 24]",317.7285953,"[[33, 10, 20, 38, 5, 9, 16, 39, 36, 2], [29, 37, 30, 1, 23, 27, 0, 3, 14, 12], [6, 28, 18, 22, 32, 15, 31, 17, 26, 35], [25, 4, 13, 19, 7, 21, 24, 11, 8, 34]]",396.1501977
40,20,100,15,3,3,0.4,115,30,"[36, 2, 16, 21, 14, 0, 3, 12, 18, 28, 22, 10, 13, 34, 8, 33, 27, 25, 35, 31, 32, 15, 17, 7, 26, 4, 20, 38, 1, 11, 24, 23, 30, 37, 29, 39, 6, 19, 9, 5, 36]",262.2480988,"[[21, 14, 0, 3, 12, 18, 28, 22, 10, 13], [34, 8, 33, 27, 25, 35, 31, 32, 15, 17], [7, 26, 4, 20, 38, 1, 11, 24, 23, 30], [37, 29, 39, 6, 19, 9, 5, 36, 2, 16]]",419.2225192
40,20,100,15,3,3,0.4,115,35,"[4, 39, 36, 2, 16, 21, 30, 37, 29, 23, 11, 24, 1, 0, 3, 14, 12, 18, 6, 28, 22, 35, 15, 32, 31, 26, 25, 13, 10, 34, 33, 8, 9, 5, 27, 20, 38, 17, 7, 19, 4]",253.7290373,"[[37, 29, 23, 11, 24, 1, 0, 3, 14, 12], [18, 6, 28, 22, 35, 15, 32, 31, 26, 25], [13, 10, 34, 33, 8, 9, 5, 27, 20, 38], [17, 7, 19, 4, 39, 36, 2, 16, 21, 30]]",520.4274512
40,20,100,15,3,3,0.4,130,25,"[3, 0, 14, 26, 15, 32, 18, 1, 24, 11, 23, 30, 37, 29, 21, 16, 2, 36, 39, 4, 38, 5, 27, 33, 34, 8, 9, 10, 20, 22, 28, 12, 6, 31, 17, 35, 19, 25, 13, 7, 3]",321.5704504,"[[18, 1, 24, 11, 23, 30, 37, 29, 21, 16], [2, 36, 39, 4, 38, 5, 27, 33, 34, 8], [9, 10, 20, 22, 28, 12, 6, 31, 17, 35], [19, 25, 13, 7, 3, 0, 14, 26, 15, 32]]",482.2260778
40,20,100,15,3,3,0.4,130,30,"[12, 15, 32, 28, 22, 0, 1, 11, 24, 23, 30, 37, 29, 21, 4, 14, 3, 2, 36, 16, 39, 6, 18, 25, 13, 5, 27, 33, 34, 8, 9, 20, 38, 35, 7, 10, 26, 31, 17, 19, 12]",302.4470091,"[[11, 24, 23, 30, 37, 29, 21, 4, 14, 3], [2, 36, 16, 39, 6, 18, 25, 13, 5, 27], [33, 34, 8, 9, 20, 38, 35, 7, 10, 26], [31, 17, 19, 12, 15, 32, 28, 22, 0, 1]]",391.1004216
40,20,100,15,3,3,0.4,130,35,"[27, 0, 3, 1, 11, 24, 37, 29, 30, 16, 39, 4, 12, 18, 22, 28, 32, 6, 25, 35, 15, 31, 17, 26, 10, 33, 34, 8, 19, 13, 2, 36, 21, 14, 38, 20, 9, 5, 23, 7, 27]",289.4813016,"[[16, 39, 4, 12, 18, 22, 28, 32, 6, 25], [35, 15, 31, 17, 26, 10, 33, 34, 8, 19], [13, 2, 36, 21, 14, 38, 20, 9, 5, 23], [7, 27, 0, 3, 1, 11, 24, 37, 29, 30]]",360.5857113
40,20,100,15,3,3,0.4,145,25,"[24, 1, 11, 23, 5, 30, 29, 37, 21, 16, 39, 6, 18, 22, 28, 4, 12, 3, 0, 14, 26, 17, 31, 15, 32, 35, 20, 27, 9, 13, 25, 8, 34, 33, 10, 38, 36, 2, 19, 7, 24]",297.6811068,"[[23, 5, 30, 29, 37, 21, 16, 39, 6, 18], [22, 28, 4, 12, 3, 0, 14, 26, 17, 31], [15, 32, 35, 20, 27, 9, 13, 25, 8, 34], [33, 10, 38, 36, 2, 19, 7, 24, 1, 11]]",401.0803909
40,20,100,15,3,3,0.4,145,30,"[36, 0, 3, 14, 12, 1, 24, 11, 23, 9, 5, 30, 29, 37, 16, 39, 28, 22, 18, 6, 35, 32, 15, 17, 7, 26, 25, 13, 38, 4, 10, 34, 8, 33, 27, 20, 31, 2, 21, 19, 36]",288.0193924,"[[9, 5, 30, 29, 37, 16, 39, 28, 22, 18], [6, 35, 32, 15, 17, 7, 26, 25, 13, 38], [4, 10, 34, 8, 33, 27, 20, 31, 2, 21], [19, 36, 0, 3, 14, 12, 1, 24, 11, 23]]",470.1910125
40,20,100,15,3,3,0.4,145,35,"[6, 28, 18, 19, 0, 14, 3, 12, 32, 25, 35, 31, 17, 26, 15, 22, 13, 10, 27, 33, 34, 8, 1, 11, 24, 21, 37, 29, 2, 36, 16, 39, 4, 38, 20, 9, 5, 23, 30, 7, 6]",274.8450424,"[[25, 35, 31, 17, 26, 15, 22, 13, 10, 27], [33, 34, 8, 1, 11, 24, 21, 37, 29, 2], [36, 16, 39, 4, 38, 20, 9, 5, 23, 30], [7, 6, 28, 18, 19, 0, 14, 3, 12, 32]]",464.8448494
40,20,100,15,3,3,0.4,160,25,"[1, 11, 24, 29, 37, 30, 23, 8, 33, 27, 10, 26, 3, 0, 14, 7, 15, 28, 18, 6, 22, 13, 34, 9, 5, 2, 36, 21, 16, 39, 20, 4, 12, 32, 31, 35, 25, 17, 38, 19, 1]",306.9148923,"[[8, 33, 27, 10, 26, 3, 0, 14, 7, 15], [28, 18, 6, 22, 13, 34, 9, 5, 2, 36], [21, 16, 39, 20, 4, 12, 32, 31, 35, 25], [17, 38, 19, 1, 11, 24, 29, 37, 30, 23]]",411.8890786
40,20,100,15,3,3,0.4,160,30,"[6, 28, 0, 3, 14, 12, 15, 32, 1, 11, 24, 37, 2, 36, 4, 20, 10, 33, 8, 34, 27, 5, 9, 7, 17, 26, 18, 22, 35, 31, 25, 13, 38, 39, 16, 21, 29, 30, 23, 19, 6]",323.652398,"[[15, 32, 1, 11, 24, 37, 2, 36, 4, 20], [10, 33, 8, 34, 27, 5, 9, 7, 17, 26], [18, 22, 35, 31, 25, 13, 38, 39, 16, 21], [29, 30, 23, 19, 6, 28, 0, 3, 14, 12]]",483.2892132
